"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/27/2026","2/27/2026","3/2/2026","CRCL","CRCL 3/6/2026 Put $64.00","STO","1","$0.20","$19.95"
"2/27/2026","2/27/2026","3/2/2026","CRCL","CRCL 3/6/2026 Put $69.00","BTO","1","$0.41","($41.04)"
"2/27/2026","2/27/2026","3/2/2026","CRCL","CRCL 3/6/2026 Put $64.00","STO","1","$0.20","$19.95"
"2/27/2026","2/27/2026","3/2/2026","CRCL","CRCL 3/6/2026 Put $69.00","BTO","1","$0.41","($41.04)"
"2/26/2026","2/26/2026","2/27/2026","CRCL","CRCL 3/6/2026 Put $69.00","BTO","1","$0.43","($43.04)"
"2/26/2026","2/26/2026","2/27/2026","CRCL","CRCL 3/6/2026 Put $64.00","STO","1","$0.25","$24.95"
"2/26/2026","2/26/2026","2/27/2026","QQQ","QQQ 3/20/2026 Put $570.00","STO","1","$3.65","$364.95"
"2/26/2026","2/26/2026","2/27/2026","QQQ","QQQ 3/20/2026 Put $584.00","BTO","1","$5.68","($568.04)"
"2/26/2026","2/26/2026","2/27/2026","QQQ","QQQ 3/20/2026 Put $570.00","STO","1","$3.65","$364.95"
"2/26/2026","2/26/2026","2/27/2026","QQQ","QQQ 3/20/2026 Put $584.00","BTO","1","$5.68","($568.04)"
"2/26/2026","2/26/2026","2/27/2026","ELV","ELV 3/20/2026 Put $310.00","STC","1","$4.67","$466.95"
"2/26/2026","2/26/2026","2/27/2026","ELV","ELV 3/20/2026 Put $290.00","BTC","1","$1.62","($162.04)"
"2/26/2026","2/26/2026","2/27/2026","FXI","FXI 5/15/2026 Put $35.00","BTC","2","$0.72","($144.08)"
"2/26/2026","2/26/2026","2/27/2026","FXI","FXI 5/15/2026 Put $37.00","STC","2","$1.37","$273.91"
"2/26/2026","2/26/2026","2/27/2026","CRBG","CRBG 7/17/2026 Put $21.00","BTC","1","$0.65","($65.04)"
"2/26/2026","2/26/2026","2/27/2026","CRBG","CRBG 7/17/2026 Put $25.00","STC","1","$1.37","$136.95"
"2/26/2026","2/26/2026","2/27/2026","CRBG","CRBG 7/17/2026 Put $21.00","BTC","1","$0.65","($65.04)"
"2/26/2026","2/26/2026","2/27/2026","CRBG","CRBG 7/17/2026 Put $25.00","STC","1","$1.37","$136.95"
"2/26/2026","2/26/2026","2/27/2026","CRCL","CRCL 3/6/2026 Put $64.00","STO","1","$0.23","$22.95"
"2/26/2026","2/26/2026","2/27/2026","CRCL","CRCL 3/6/2026 Put $69.00","BTO","1","$0.44","($44.04)"
"2/26/2026","2/26/2026","2/27/2026","XLF","XLF 6/18/2026 Put $48.00","STO","1","$0.82","$81.95"
"2/26/2026","2/26/2026","2/27/2026","XLF","XLF 6/18/2026 Put $50.00","BTO","1","$1.21","($121.04)"
"2/26/2026","2/26/2026","2/27/2026","ELV","ELV 3/20/2026 Put $310.00","STC","1","$4.02","$401.95"
"2/26/2026","2/26/2026","2/27/2026","ELV","ELV 3/20/2026 Put $290.00","BTC","1","$1.43","($143.04)"
"2/26/2026","2/26/2026","2/27/2026","FXI","FXI 5/15/2026 Put $35.00","BTC","3","$0.72","($216.12)"
"2/26/2026","2/26/2026","2/27/2026","FXI","FXI 5/15/2026 Put $37.00","STC","3","$1.38","$413.87"
"2/26/2026","2/26/2026","2/27/2026","IBIT","IBIT 3/6/2026 Call $40.50","STC","1","$0.45","$44.95"
"2/26/2026","2/26/2026","2/27/2026","IBIT","IBIT 3/6/2026 Call $45.00","BTC","1","$0.05","($5.04)"
"2/26/2026","2/26/2026","2/27/2026","LUV","LUV 3/20/2026 Put $41.00","BTC","2","$0.20","($40.08)"
"2/26/2026","2/26/2026","2/27/2026","LUV","LUV 3/20/2026 Put $45.00","STC","2","$0.50","$99.91"
"2/25/2026","2/25/2026","2/26/2026","","Mark to market","MTM","","","($34.40)"
"2/25/2026","2/25/2026","2/26/2026","QQQ","Option Expiration for QQQ 2/25/2026 Put $581.00","OEXP","2","",""
"2/25/2026","2/25/2026","2/26/2026","QQQ","Option Expiration for QQQ 2/25/2026 Put $590.00","OEXP","2S","",""
"2/25/2026","2/25/2026","2/26/2026","SMH","SMH 2/27/2026 Call $457.50","STO","1","$0.18","$17.95"
"2/25/2026","2/25/2026","2/26/2026","SMH","SMH 2/27/2026 Call $450.00","BTO","1","$0.55","($55.04)"
"2/25/2026","2/25/2026","2/26/2026","IBIT","IBIT 3/6/2026 Call $40.50","BTO","1","$0.77","($77.04)"
"2/25/2026","2/25/2026","2/26/2026","IBIT","IBIT 3/6/2026 Call $45.00","STO","1","$0.09","$8.95"
"2/25/2026","2/25/2026","2/26/2026","FCX","FCX 3/6/2026 Put $63.00","STO","2","$0.53","$105.91"
"2/25/2026","2/25/2026","2/26/2026","FCX","FCX 3/6/2026 Put $67.00","BTO","2","$1.53","($306.08)"
"2/25/2026","2/25/2026","2/26/2026","CRBG","CRBG 7/17/2026 Put $21.00","STO","1","$0.66","$65.95"
"2/25/2026","2/25/2026","2/26/2026","CRBG","CRBG 7/17/2026 Put $21.00","STO","1","$0.66","$65.95"
"2/25/2026","2/25/2026","2/26/2026","CRBG","CRBG 7/17/2026 Put $25.00","BTO","1","$1.53","($153.04)"
"2/25/2026","2/25/2026","2/26/2026","CRBG","CRBG 7/17/2026 Put $25.00","BTO","1","$1.53","($153.04)"
"2/25/2026","2/25/2026","2/26/2026","TFC","TFC 3/20/2026 Put $42.50","BTC","2","$0.12","($24.08)"
"2/25/2026","2/25/2026","2/26/2026","TFC","TFC 3/20/2026 Put $47.50","STC","2","$0.55","$109.91"
"2/25/2026","2/25/2026","2/26/2026","CRCL","CRCL 3/6/2026 Put $64.00","STO","2","$0.77","$153.91"
"2/25/2026","2/25/2026","2/26/2026","CRCL","CRCL 3/6/2026 Put $69.00","BTO","2","$1.67","($334.08)"
"2/24/2026","2/24/2026","2/25/2026","","Mark to market","MTM","","","($31.25)"
"2/24/2026","2/24/2026","2/25/2026","LUV","LUV 3/20/2026 Put $41.00","STO","1","$0.25","$24.95"
"2/24/2026","2/24/2026","2/25/2026","LUV","LUV 3/20/2026 Put $45.00","BTO","1","$0.70","($70.04)"
"2/24/2026","2/24/2026","2/25/2026","LUV","LUV 3/20/2026 Put $41.00","STO","1","$0.25","$24.95"
"2/24/2026","2/24/2026","2/25/2026","LUV","LUV 3/20/2026 Put $45.00","BTO","1","$0.70","($70.04)"
"2/24/2026","2/24/2026","2/25/2026","IBIT","IBIT 2/27/2026 Call $42.00","BTC","4","$0.02","($8.16)"
"2/24/2026","2/24/2026","2/25/2026","IBIT","IBIT 2/27/2026 Call $39.00","STC","4","$0.09","$35.83"
"2/24/2026","2/24/2026","2/25/2026","IBIT","IBIT 2/27/2026 Put $36.00","STC","4","$0.51","$203.83"
"2/24/2026","2/24/2026","2/25/2026","IBIT","IBIT 2/27/2026 Put $33.50","BTC","4","$0.13","($52.16)"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $31.00","BTC","2","$0.03","($6.08)"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $29.00","STC","2","$0.14","$27.91"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $31.00","BTC","1","$0.03","($3.04)"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $29.00","STC","1","$0.14","$13.95"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $31.00","BTC","1","$0.03","($3.04)"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $29.00","STC","1","$0.14","$13.95"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $31.00","BTC","2","$0.03","($6.08)"
"2/24/2026","2/24/2026","2/25/2026","PFE","PFE 3/20/2026 Call $29.00","STC","2","$0.14","$27.91"
"2/23/2026","2/23/2026","2/24/2026","","Mark to market","MTM","","","$23.16"
"2/23/2026","2/23/2026","2/24/2026","TFC","TFC 3/20/2026 Put $42.50","STO","2","$0.18","$35.91"
"2/23/2026","2/23/2026","2/24/2026","TFC","TFC 3/20/2026 Put $47.50","BTO","2","$0.73","($146.08)"
"2/23/2026","2/23/2026","2/24/2026","TSLA","TSLA 3/2/2026 Put $335.00","STO","4","$0.42","$167.83"
"2/23/2026","2/23/2026","2/24/2026","TSLA","TSLA 3/2/2026 Put $340.00","BTO","4","$0.53","($212.16)"
"2/23/2026","2/23/2026","2/24/2026","QQQ","QQQ 2/25/2026 Put $581.00","STO","2","$0.55","$109.91"
"2/23/2026","2/23/2026","2/24/2026","QQQ","QQQ 2/25/2026 Put $590.00","BTO","2","$1.60","($320.08)"
"2/23/2026","2/23/2026","2/24/2026","WM","WM 3/20/2026 Call $250.00","BTC","2","$0.37","($74.08)"
"2/23/2026","2/23/2026","2/24/2026","WM","WM 3/20/2026 Call $240.00","STC","2","$1.62","$323.91"
"2/23/2026","2/23/2026","2/24/2026","FXI","FXI 5/15/2026 Put $37.00","BTO","4","$0.89","($356.16)"
"2/23/2026","2/23/2026","2/24/2026","FXI","FXI 5/15/2026 Put $35.00","STO","4","$0.44","$175.83"
"2/23/2026","2/23/2026","2/24/2026","FXI","FXI 5/15/2026 Put $37.00","BTO","1","$0.89","($89.04)"
"2/23/2026","2/23/2026","2/24/2026","FXI","FXI 5/15/2026 Put $35.00","STO","1","$0.44","$43.95"
"2/23/2026","2/23/2026","2/24/2026","SPB","SPB 7/17/2026 Call $105.00","BTC","1","$2.40","($240.04)"
"2/23/2026","2/23/2026","2/24/2026","SPB","SPB 7/17/2026 Call $95.00","STC","1","$3.00","$299.95"
"2/23/2026","2/23/2026","2/24/2026","IBIT","IBIT 2/27/2026 Put $33.50","STO","1","$0.20","$19.95"
"2/23/2026","2/23/2026","2/24/2026","IBIT","IBIT 2/27/2026 Call $42.00","STO","1","$0.03","$2.95"
"2/23/2026","2/23/2026","2/24/2026","IBIT","IBIT 2/27/2026 Put $36.00","BTO","1","$0.61","($61.04)"
"2/23/2026","2/23/2026","2/24/2026","IBIT","IBIT 2/27/2026 Call $39.00","BTO","1","$0.25","($25.04)"
"2/23/2026","2/23/2026","2/24/2026","SMH","SMH 3/20/2026 Put $370.00","STO","2","$5.02","$1,003.91"
"2/23/2026","2/23/2026","2/24/2026","SMH","SMH 3/20/2026 Put $380.00","BTO","2","$6.67","($1,334.08)"
"2/23/2026","2/23/2026","2/24/2026","XLF","XLF 6/18/2026 Put $43.00","BTO","2","$0.54","($108.08)"
"2/23/2026","2/23/2026","2/24/2026","XLF","XLF 6/18/2026 Put $48.00","STO","5","$0.96","$479.78"
"2/23/2026","2/23/2026","2/24/2026","XLF","XLF 6/18/2026 Put $50.00","BTO","5","$1.42","($710.20)"
"2/23/2026","2/23/2026","2/24/2026","TFC","TFC 3/20/2026 Call $57.50","BTC","2","$0.11","($22.08)"
"2/23/2026","2/23/2026","2/24/2026","TFC","TFC 3/20/2026 Call $55.00","STC","2","$0.49","$97.91"
"2/20/2026","2/20/2026","2/23/2026","","Mark to market","MTM","","","($9.56)"
"2/20/2026","2/20/2026","2/23/2026","PANW","Option Expiration for PANW 2/20/2026 Call $195.00","OEXP","1","",""
"2/20/2026","2/20/2026","2/23/2026","PANW","Option Expiration for PANW 2/20/2026 Call $185.00","OEXP","1S","",""
"2/20/2026","2/20/2026","2/23/2026","TFC","TFC 3/20/2026 Call $57.50","STO","2","$0.14","$27.91"
"2/20/2026","2/20/2026","2/23/2026","TFC","TFC 3/20/2026 Call $55.00","BTO","2","$0.56","($112.08)"
"2/20/2026","2/20/2026","2/23/2026","SPB","SPB 7/17/2026 Call $105.00","STO","1","$1.94","$193.95"
"2/20/2026","2/20/2026","2/23/2026","SPB","SPB 7/17/2026 Call $95.00","BTO","1","$3.49","($349.04)"
"2/20/2026","2/20/2026","2/23/2026","ELV","ELV 3/20/2026 Put $310.00","BTO","2","$2.72","($544.08)"
"2/20/2026","2/20/2026","2/23/2026","ELV","ELV 3/20/2026 Put $290.00","STO","2","$1.07","$213.91"
"2/20/2026","2/20/2026","2/23/2026","WM","WM 3/20/2026 Call $250.00","STO","1","$0.42","$41.95"
"2/20/2026","2/20/2026","2/23/2026","WM","WM 3/20/2026 Call $240.00","BTO","1","$1.52","($152.04)"
"2/20/2026","2/20/2026","2/23/2026","GS","GS 5/15/2026 Put $730.00","STO","2","$9.70","$1,939.91"
"2/20/2026","2/20/2026","2/23/2026","GS","GS 5/15/2026 Put $740.00","BTO","2","$10.85","($2,170.08)"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Call $42.00","STO","1","$0.09","$8.95"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Call $39.00","BTO","1","$0.67","($67.04)"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Put $36.00","BTO","1","$0.46","($46.04)"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Put $33.50","STO","1","$0.17","$16.95"
"2/20/2026","2/20/2026","2/23/2026","","ACH Withdrawal","ACH","","","($350.00)"
"2/20/2026","2/20/2026","2/23/2026","TSLA","TSLA 3/20/2026 Put $380.00","BTO","2","$7.70","($1,540.08)"
"2/20/2026","2/20/2026","2/23/2026","TSLA","TSLA 3/20/2026 Put $370.00","STO","2","$5.65","$1,129.91"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Call $42.00","STO","1","$0.10","$9.95"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Call $39.00","BTO","1","$0.71","($71.04)"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Put $36.00","BTO","1","$0.45","($45.04)"
"2/20/2026","2/20/2026","2/23/2026","IBIT","IBIT 2/27/2026 Put $33.50","STO","1","$0.17","$16.95"
"2/20/2026","2/20/2026","2/23/2026","LUV","LUV 3/20/2026 Put $45.00","BTC","1","$0.57","($57.04)"
"2/20/2026","2/20/2026","2/23/2026","LUV","LUV 3/20/2026 Put $50.00","STC","1","$1.87","$186.95"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $3.00","BTC","1","$0.22","($22.04)"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $1.50","STC","1","$0.54","$53.95"
"2/20/2026","2/20/2026","2/23/2026","PLTR","PLTR 3/20/2026 Put $120.00","STC","2","$3.15","$629.91"
"2/20/2026","2/20/2026","2/23/2026","PLTR","PLTR 3/20/2026 Put $110.00","BTC","2","$1.45","($290.08)"
"2/20/2026","2/20/2026","2/23/2026","TSLA","TSLA 3/13/2026 Put $370.00","BTC","1","$4.21","($421.04)"
"2/20/2026","2/20/2026","2/23/2026","TSLA","TSLA 3/13/2026 Put $385.00","STC","1","$7.11","$710.95"
"2/20/2026","2/20/2026","2/23/2026","PFE","PFE 3/20/2026 Call $31.00","STO","1","$0.04","$3.95"
"2/20/2026","2/20/2026","2/23/2026","PFE","PFE 3/20/2026 Call $29.00","BTO","1","$0.15","($15.04)"
"2/20/2026","2/20/2026","2/23/2026","PFE","PFE 3/20/2026 Call $31.00","STO","2","$0.04","$7.91"
"2/20/2026","2/20/2026","2/23/2026","PFE","PFE 3/20/2026 Call $29.00","BTO","2","$0.15","($30.08)"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $1.50","STC","1","$0.45","$44.95"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $3.00","BTC","1","$0.16","($16.04)"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $1.50","STC","1","$0.45","$44.95"
"2/20/2026","2/20/2026","2/23/2026","RXT","RXT 3/20/2026 Call $3.00","BTC","1","$0.16","($16.04)"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $42.00","STC","1","$0.17","$16.95"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $39.00","BTC","1","$0.42","($42.04)"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $37.00","STC","1","$0.85","$84.95"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $42.00","STC","1","$0.17","$16.95"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $39.00","BTC","1","$0.42","($42.04)"
"2/20/2026","2/20/2026","2/23/2026","HAL","HAL 3/20/2026 Call $37.00","STC","1","$0.85","$84.95"
"2/20/2026","2/20/2026","2/23/2026","LUV","LUV 3/20/2026 Put $45.00","BTC","1","$0.63","($63.04)"
"2/20/2026","2/20/2026","2/23/2026","LUV","LUV 3/20/2026 Put $50.00","STC","1","$2.03","$202.95"
"2/19/2026","2/19/2026","2/20/2026","HAL","HAL 3/20/2026 Call $37.00","BTO","2","$0.91","($182.08)"
"2/19/2026","2/19/2026","2/20/2026","HAL","HAL 3/20/2026 Call $39.00","STO","2","$0.45","$89.91"
"2/19/2026","2/19/2026","2/20/2026","HAL","HAL 3/20/2026 Call $42.00","BTO","2","$0.18","($36.08)"
"2/19/2026","2/19/2026","2/20/2026","XLE","XLE 3/6/2026 Call $60.00","BTC","3","$0.25","($75.12)"
"2/19/2026","2/19/2026","2/20/2026","XLE","XLE 3/6/2026 Call $57.00","STC","3","$0.77","$230.87"
"2/19/2026","2/19/2026","2/20/2026","PLTR","PLTR 3/20/2026 Put $110.00","STO","2","$1.37","$273.91"
"2/19/2026","2/19/2026","2/20/2026","PLTR","PLTR 3/20/2026 Put $120.00","BTO","2","$2.92","($584.08)"
"2/19/2026","2/19/2026","2/20/2026","SLV","SLV 3/6/2026 Put $67.00","STC","2","$2.19","$437.91"
"2/19/2026","2/19/2026","2/20/2026","SLV","SLV 3/6/2026 Put $61.00","BTC","2","$0.84","($168.08)"
"2/19/2026","2/19/2026","2/20/2026","UBER","UBER 3/20/2026 Call $90.00","BTC","2","$0.11","($22.08)"
"2/19/2026","2/19/2026","2/20/2026","UBER","UBER 3/20/2026 Call $80.00","STC","2","$0.80","$159.91"
"2/19/2026","2/19/2026","2/20/2026","TSLA","TSLA 3/13/2026 Put $370.00","STO","1","$4.45","$444.95"
"2/19/2026","2/19/2026","2/20/2026","TSLA","TSLA 3/13/2026 Put $385.00","BTO","1","$7.35","($735.04)"
"2/19/2026","2/19/2026","2/20/2026","IBIT","IBIT 2/25/2026 Put $33.50","BTC","2","$0.19","($38.08)"
"2/19/2026","2/19/2026","2/20/2026","IBIT","IBIT 2/25/2026 Put $36.50","STC","2","$0.62","$123.91"
"2/19/2026","2/19/2026","2/20/2026","TSLA","TSLA 3/4/2026 Put $385.00","BTC","1","$4.67","($467.04)"
"2/19/2026","2/19/2026","2/20/2026","TSLA","TSLA 3/4/2026 Put $395.00","STC","1","$7.07","$706.95"
"2/19/2026","2/19/2026","2/20/2026","WM","WM 3/20/2026 Call $250.00","STO","1","$1.27","$126.95"
"2/19/2026","2/19/2026","2/20/2026","WM","WM 3/20/2026 Call $240.00","BTO","1","$4.17","($417.04)"
"2/19/2026","2/19/2026","2/20/2026","AMZN","AMZN 2/27/2026 Call $217.50","STC","2","$0.45","$89.91"
"2/19/2026","2/19/2026","2/20/2026","AMZN","AMZN 2/27/2026 Call $222.50","BTC","2","$0.21","($42.08)"
"2/19/2026","2/19/2026","2/20/2026","TOST","TOST 6/18/2026 Call $37.00","BTC","3","$0.85","($255.12)"
"2/19/2026","2/19/2026","2/20/2026","TOST","TOST 6/18/2026 Call $32.00","STC","3","$1.71","$512.87"
"2/19/2026","2/19/2026","2/20/2026","CBRE","CBRE 3/20/2026 Call $155.00","STC","1","$4.11","$410.95"
"2/19/2026","2/19/2026","2/20/2026","CBRE","CBRE 3/20/2026 Call $165.00","BTC","1","$1.36","($136.04)"
"2/18/2026","2/18/2026","2/19/2026","NFLX","NFLX 5/15/2026 Call $94.00","BTC","1","$1.60","($160.04)"
"2/18/2026","2/18/2026","2/19/2026","NFLX","NFLX 5/15/2026 Call $82.00","STC","1","$4.80","$479.95"
"2/18/2026","2/18/2026","2/19/2026","XLE","XLE 3/6/2026 Call $60.00","STO","3","$0.11","$32.87"
"2/18/2026","2/18/2026","2/19/2026","XLE","XLE 3/6/2026 Call $57.00","BTO","3","$0.43","($129.12)"
"2/18/2026","2/18/2026","2/19/2026","AMZN","AMZN 2/27/2026 Call $217.50","BTO","2","$0.73","($146.08)"
"2/18/2026","2/18/2026","2/19/2026","AMZN","AMZN 2/27/2026 Call $222.50","STO","2","$0.33","$65.91"
"2/18/2026","2/18/2026","2/19/2026","LUV","LUV 3/20/2026 Put $45.00","STO","2","$0.27","$53.91"
"2/18/2026","2/18/2026","2/19/2026","LUV","LUV 3/20/2026 Put $50.00","BTO","2","$0.95","($190.08)"
"2/18/2026","2/18/2026","2/19/2026","TSLA","TSLA 3/4/2026 Put $385.00","STO","1","$3.62","$361.95"
"2/18/2026","2/18/2026","2/19/2026","TSLA","TSLA 3/4/2026 Put $395.00","BTO","1","$5.52","($552.04)"
"2/18/2026","2/18/2026","2/19/2026","CBRE","CBRE 3/20/2026 Call $155.00","BTO","1","$3.72","($372.04)"
"2/18/2026","2/18/2026","2/19/2026","CBRE","CBRE 3/20/2026 Call $165.00","STO","1","$1.22","$121.95"
"2/18/2026","2/18/2026","2/19/2026","SLV","SLV 3/6/2026 Put $61.00","STO","2","$1.01","$201.91"
"2/18/2026","2/18/2026","2/19/2026","SLV","SLV 3/6/2026 Put $67.00","BTO","2","$2.56","($512.08)"
"2/18/2026","2/18/2026","2/19/2026","WMT","WMT 5/15/2026 Put $105.00","BTC","1","$1.31","($131.04)"
"2/18/2026","2/18/2026","2/19/2026","WMT","WMT 5/15/2026 Put $120.00","STC","1","$4.36","$435.95"
"2/18/2026","2/18/2026","2/19/2026","RXT","RXT 3/20/2026 Call $1.50","BTO","3","$0.30","($90.12)"
"2/18/2026","2/18/2026","2/19/2026","RXT","RXT 3/20/2026 Call $3.00","STO","3","$0.10","$29.87"
"2/18/2026","2/18/2026","2/19/2026","UBER","UBER 3/20/2026 Call $90.00","STO","2","$0.09","$17.91"
"2/18/2026","2/18/2026","2/19/2026","UBER","UBER 3/20/2026 Call $80.00","BTO","2","$0.68","($136.08)"
"2/18/2026","2/18/2026","2/19/2026","CRWD","CRWD 2/20/2026 Call $450.00","BTC","1","$0.31","($31.04)"
"2/18/2026","2/18/2026","2/19/2026","CRWD","CRWD 2/20/2026 Call $440.00","STC","1","$0.69","$68.95"
"2/17/2026","2/17/2026","2/18/2026","CRWD","CRWD 2/20/2026 Call $450.00","STO","1","$0.54","$53.95"
"2/17/2026","2/17/2026","2/18/2026","CRWD","CRWD 2/20/2026 Call $440.00","BTO","1","$1.15","($115.04)"
"2/17/2026","2/17/2026","2/18/2026","PFE","PFE 3/20/2026 Call $29.00","BTO","3","$0.25","($75.12)"
"2/17/2026","2/17/2026","2/18/2026","PFE","PFE 3/20/2026 Call $31.00","STO","3","$0.06","$17.87"
"2/17/2026","2/17/2026","2/18/2026","INTC","INTC 3/20/2026 Put $34.00","STC","2","$0.26","$51.91"
"2/17/2026","2/17/2026","2/18/2026","INTC","INTC 3/20/2026 Put $38.00","BTC","2","$0.66","($132.08)"
